id,category,option,best_for,avoid_when,tradeoffs,tags,last_verified
BE001,Node.js,Next.js API Routes / Route Handlers,"Greenfield SaaS or marketing site shipping frontend+backend as one deployable; small team; Vercel-first hosting","Backend must scale independently of frontend, or a separate team owns backend release cycles","Fastest path to a full-stack TypeScript app with shared types end-to-end; serverless cold starts can add latency to the first request after idle","nextjs|serverless|typescript|vercel|fullstack|mvp",2026-07-03
BE002,Node.js,Next.js Server Actions,"Form submissions and mutations inside an existing Next.js App Router project, avoiding a separate API layer entirely","Public API consumed by non-Next.js clients (mobile app, third-party integrations)","Removes API boilerplate and client-side fetch code, but couples the mutation to the framework — harder to reuse for a mobile client later","nextjs|server-actions|forms|mutations",2026-07-03
BE003,Node.js,Express.js,"Team already knows Express; needs full manual control over middleware/routing; long-lived service with custom infra requirements","Team wants opinionated structure out of the box, or needs built-in dependency injection and testing scaffolding","Minimal and flexible, huge ecosystem, but structure is 100% left to you — inconsistent codebases are common without team discipline","nodejs|express|api|microservice",2026-07-03
BE004,Node.js,Nest.js,"Larger team, enterprise-style backend needing DI, decorators, modular architecture, and built-in testing conventions","Small MVP or solo project where Nest's ceremony (modules/providers/decorators) slows initial velocity","Angular-like structure imposes consistency across a team, first-class TypeScript and OpenAPI/Swagger generation, but steeper learning curve than Express","nodejs|nestjs|enterprise|typescript|di",2026-07-03
BE005,Node.js,Fastify,"High-throughput API where raw request/response performance matters more than ecosystem size","Team wants Express's ubiquity/tutorials or Nest's structure","Notably faster than Express under load with a similar plugin model, but a smaller ecosystem and fewer hires already know it","nodejs|fastify|performance|api",2026-07-03
BE006,Python,FastAPI,"Python team building a typed, auto-documented REST/async API; data/ML-adjacent product; needs OpenAPI docs for free","Team has no Python expertise and no reason to introduce a second language into an otherwise all-JS stack","Async-first, Pydantic validation gives you request/response typing and docs for free, excellent for data-heavy or ML-serving backends","python|fastapi|async|openapi|ml",2026-07-03
BE007,Python,Django,"Content-heavy or admin-heavy product that benefits from Django's batteries-included admin panel, ORM, and auth out of the box","Team wants async-first performance or a minimal footprint microservice","Ships an admin UI, ORM, migrations, and auth almost for free; monolithic by default which is a feature for CRUD-heavy apps and friction for microservices","python|django|orm|admin-panel|monolith",2026-07-03
BE008,Python,Django REST Framework,"Same as Django, but the product is API-first (mobile app backend, SPA backend) rather than server-rendered pages","Team needs async performance DRF doesn't provide as naturally as FastAPI","Mature serialization/permissions/viewset conventions on top of Django; less async-native than FastAPI","python|django|drf|rest-api",2026-07-03
BE009,BaaS,Supabase,"Postgres-backed product needing auth, storage, realtime, and row-level-security without standing up custom infrastructure; fastest path from zero to a real relational backend","Complex custom business logic that doesn't map well to Postgres functions/RLS, or a requirement to avoid vendor lock-in entirely","Real Postgres (not a proprietary DB) means you can always self-host later; RLS policies double as your authorization layer, but non-trivial business logic still needs Edge Functions or an external service","supabase|postgres|baas|auth|realtime|rls",2026-07-03
BE010,BaaS,Firebase,"Mobile-first product, needs offline-first sync (Firestore), and the team is already in the Google Cloud ecosystem","Relational data with complex joins/reporting needs — Firestore's NoSQL model fights you here","Excellent offline sync and mobile SDKs, generous free tier, but NoSQL query limitations and can get expensive at scale (per-read pricing)","firebase|firestore|baas|mobile|offline-first",2026-07-03
BE011,BaaS,Supabase Edge Functions,"Custom server-side logic (webhooks, third-party API calls, cron jobs) alongside a Supabase-backed app, without leaving the Supabase project","Long-running or CPU-heavy jobs — Edge Functions are Deno-based serverless, not a general compute platform","Deploys alongside your Supabase project with shared env/secrets; Deno runtime means most npm packages work but not all","supabase|edge-functions|deno|serverless|webhooks",2026-07-03
BE012,Edge,Cloudflare Workers,"Latency-sensitive, globally-distributed API; simple request/response logic; willing to work within Workers' constraints (no long-running processes, limited CPU time)","Backend needs a traditional filesystem, long-running background jobs, or heavy CPU-bound work","Runs at the edge in every Cloudflare PoP for very low latency worldwide; pairs with D1 (SQLite) and KV for data, but the runtime is a V8 isolate, not full Node.js","cloudflare|workers|edge|serverless|d1",2026-07-03
BE013,Node.js,Next.js API Routes,"Agency client site with a CMS-driven marketing site plus a handful of form/contact endpoints — no need for a standalone backend","Client requests a mobile app sharing the same backend, or expects the API to outlive the frontend rewrite","Ships fast and cheap for client work, but the API is implicitly tied to the Next.js app's lifecycle/hosting — factor that into the contract/handoff","nextjs|agency|client-site|forms",2026-07-03
BE014,Node.js,Nest.js,"Agency building a multi-tenant SaaS for a client that will hand this off to an internal engineering team later","One-off client site with no ongoing engineering team to maintain the structure","The imposed structure is easier for an unfamiliar team to pick up during handoff than a loosely-organized Express app","nestjs|agency|handoff|saas|multi-tenant",2026-07-03
BE015,BaaS,Supabase,"Agency delivering a client MVP fast, where the client wants to self-manage the backend afterward via a dashboard rather than hire a backend engineer","Client explicitly wants full infrastructure ownership/on-prem control","Client gets a real Postgres dashboard (Table Editor, Auth, Storage) without needing to read code, at the cost of some platform lock-in to Supabase's tooling (though the underlying Postgres is portable)","supabase|agency|client-handoff|mvp",2026-07-03
BE016,Python,FastAPI,"Internal admin/ops tool for a data team that already writes Python for data pipelines and wants the backend in the same language","Team is JS/TS-only and would need to context-switch languages for a small internal tool","Reuses existing Python expertise and libraries (pandas, etc.) directly in request handlers; smaller ecosystem of ready-made admin UI kits than Django","fastapi|internal-tool|python|data-team",2026-07-03
BE017,Python,Django,"Internal admin tool where the built-in Django Admin can BE the entire UI, saving frontend build time","Tool needs a highly custom, branded UI beyond what Django Admin's templates support","Django Admin can eliminate a frontend build entirely for pure CRUD internal tools — reassess if the tool later needs a public-facing polished UI","django|admin-panel|internal-tool|crud",2026-07-03
BE018,Node.js,Express.js,"Real-time app (chat, live dashboard) using Socket.IO/ws on top of a familiar minimal framework","Team wants built-in structure for a large real-time system with many event types — consider Nest.js's Gateway abstraction instead","Socket.IO integrates simply with Express; for many event types/rooms, Nest's WebSocket Gateways give more structure at scale","express|websockets|realtime|socketio",2026-07-03
BE019,BaaS,Supabase,"Real-time app that's mostly database-state-driven (live updates when rows change) rather than custom event logic","Real-time logic that isn't tied to database changes (e.g. ephemeral presence/cursor-sharing) — pair with a dedicated realtime service instead","Postgres change-data-capture via Supabase Realtime removes the need to hand-wire a pub/sub layer for DB-driven updates","supabase|realtime|postgres|cdc",2026-07-03
BE020,Node.js,Next.js API Routes,"E-commerce storefront using Stripe/Shopify where checkout logic lives alongside the storefront frontend","High-volume order processing needing dedicated queueing/retry infrastructure beyond what serverless functions comfortably handle","Simple to wire Stripe webhooks into Route Handlers; for high order volume, offload webhook processing to a queue rather than doing it inline","nextjs|ecommerce|stripe|webhooks",2026-07-03
BE021,Python,Django,"E-commerce/marketplace with complex catalog, inventory, and order-state logic that benefits from Django's ORM and admin for ops staff","Team needs the storefront itself to be highly interactive/SPA-like — pair Django (API mode via DRF) with a separate frontend rather than server-rendered templates","Django Admin becomes the ops team's order-management console for free; DRF layered on top serves the storefront frontend","django|ecommerce|marketplace|orm|admin-panel",2026-07-03
BE022,BaaS,Firebase,"Mobile app backend needing push notifications, offline-first data, and quick auth (social login) without a custom server","Backend logic requires complex relational queries/reporting across large datasets","Firebase Auth + Cloud Messaging + Firestore cover most mobile-app backend needs out of the box; complex reporting usually means exporting to BigQuery","firebase|mobile|push-notifications|auth",2026-07-03
BE023,Node.js,Nest.js,"Mobile app backend where the team wants a typed, testable API layer shared conceptually with a Next.js web app (same language, similar patterns)","Small mobile MVP where Nest's setup overhead isn't justified yet","Consistent TypeScript across web+mobile backend reduces context-switching for a full-stack team","nestjs|mobile-backend|typescript",2026-07-03
BE024,Edge,Cloudflare Workers,"API that needs to run close to users across many geographic regions with minimal infra to manage (e.g. a public API product)","API needs persistent DB connections, long-running jobs, or more than a few dozen ms of CPU per request","Near-zero cold starts and global edge placement; pairs naturally with Cloudflare D1/KV/R2 to stay within the platform rather than reaching out to a distant origin DB","cloudflare|edge|global|public-api",2026-07-03
BE025,Node.js,Express.js,"Prototype/hackathon-speed MVP where the team needs to ship an API in hours, not days, and will likely rewrite it later anyway","Product is expected to scale past prototype without a planned rewrite — pick something with more structure up front instead","Lowest ceremony option to get a working API fastest; technical debt is an accepted tradeoff at this stage","express|prototype|mvp|hackathon",2026-07-03
BE026,BaaS,Supabase,"Prototype/hackathon MVP needing auth+DB+storage working in under an hour with zero backend code written","Prototype is purely a static frontend with no persistence needs at all","Auth, Postgres, storage, and a REST/GraphQL API are auto-generated from the schema — probably the fastest zero-to-working-backend path available","supabase|prototype|mvp|zero-backend",2026-07-03
BE027,Node.js,Next.js API Routes,"Content-heavy site (blog/docs/marketing) that occasionally needs a dynamic endpoint (search, newsletter signup, contact form) but is mostly static/ISR","Content site needs a full CMS backend with complex editorial workflows — pair with a headless CMS instead of hand-rolling one","Keeps the dynamic surface area small and colocated; for real editorial workflows, integrate a headless CMS rather than building content management by hand","nextjs|content-site|isr|blog",2026-07-03
BE028,Python,Django,"Content-heavy site where non-technical editors need a real CMS-like admin experience and Django Admin can be customized to serve that","Content team needs a modern block-based editor UX — consider a dedicated headless CMS with a nicer editor UI instead","Django Admin can be extended into a passable lightweight CMS for technical teams, but won't match a purpose-built headless CMS's editor UX","django|cms|admin-panel|content",2026-07-03
BE029,Node.js,Nest.js,"SaaS with multiple modules/domains (billing, users, notifications) that benefit from Nest's module system keeping boundaries explicit as the codebase grows","Single-domain app where multiple modules would be premature structure","Enforces separation between domains from day one, which pays off as a SaaS grows past a handful of resources","nestjs|saas|modular|scaling",2026-07-03
BE030,Python,FastAPI,"SaaS with an AI/LLM feature (agents, RAG, embeddings) where the backend needs to call Python-native AI SDKs directly","Product has no AI/data component and would gain nothing from Python's ML ecosystem","Native access to the Python AI/ML ecosystem (langchain, transformers, numpy, etc.) without a cross-language bridge","fastapi|ai|llm|saas|python",2026-07-03
BE031,Node.js,Next.js API Routes,"SaaS with an AI/LLM feature where the team wants to stream tokens directly to the React frontend using the same language end-to-end","Heavy Python-only AI tooling (fine-tuning, certain ML libraries) is required server-side","Streaming responses via Route Handlers + the Vercel AI SDK is a well-trodden path; falls short if you need Python-specific ML tooling, in which case pair with a Python microservice","nextjs|ai|llm|streaming|vercel-ai-sdk",2026-07-03
BE032,BaaS,Supabase,"SaaS needing multi-tenant data isolation where Row-Level Security policies can enforce tenant boundaries at the database layer itself","Tenant isolation logic is too complex for RLS policies to express cleanly (e.g. highly dynamic permission trees) — enforce it in an application layer instead","RLS makes tenant-scoped row visibility a database-enforced guarantee instead of an app-layer convention that can be forgotten in one endpoint","supabase|multi-tenant|rls|saas",2026-07-03
BE033,Node.js,Express.js,"Internal tool/admin backend for a team that wants minimal dependencies and full control, without a framework's opinions getting in the way","Team would benefit from convention-over-configuration instead of deciding everything themselves for an internal tool","Fewer decisions pre-made means faster to start for simple tools, slower to onboard a second engineer without documented conventions","express|internal-tool|minimal",2026-07-03
BE034,Python,FastAPI,"Internal tool exposing a typed API consumed by a data science notebook or another internal Python service","Tool's only consumer is a browser frontend with no other Python-side consumers — the auto-docs benefit is smaller then","Auto-generated OpenAPI schema makes the API self-describing for other internal tools/scripts to consume, a strong fit for internal Python ecosystems","fastapi|internal-tool|openapi|python",2026-07-03
BE035,BaaS,Firebase,"Prototype needing real-time collaborative features (shared cursors, live document edits) shipped fast","Product needs strict relational integrity/complex transactions across documents","Firestore's realtime listeners make collaborative prototypes fast to build; document model requires care to keep data consistent across writes","firebase|realtime|collaboration|prototype",2026-07-03
BE036,Edge,Cloudflare Workers,"E-commerce storefront needing very fast global page/API response times, paired with Cloudflare D1 or an external DB via Hyperdrive","Checkout flow needs a traditional stateful server process (e.g. long webhook processing chains) — offload that piece elsewhere","Workers + D1/Hyperdrive keeps the whole storefront stack on one low-latency edge platform; Hyperdrive lets Workers reach a normal Postgres/MySQL DB with pooling","cloudflare|ecommerce|edge|hyperdrive",2026-07-03
BE037,Node.js,Fastify,"SaaS API where you've measured that Express's overhead matters at your request volume and want a near-drop-in, faster alternative","Team has no performance data suggesting Express is actually the bottleneck — don't switch frameworks speculatively","Meaningfully faster JSON serialization/routing than Express at high RPS; smaller plugin ecosystem means occasionally writing what Express would have had a plugin for","fastify|performance|saas|api",2026-07-03
BE038,Python,Django REST Framework,"Mobile app backend where the team is Python-first and wants Django's ORM/migrations with a REST layer for the app to consume","Team needs GraphQL or wants async-native request handling","DRF's serializers/permissions/viewsets are mature and well-documented for mobile API backends; less async-friendly than FastAPI for high-concurrency streaming use cases","drf|django|mobile-backend|rest",2026-07-03
BE039,BaaS,Supabase,"Agency delivering multiple small client projects that each need auth+DB+storage, where reusing one battle-tested pattern across clients saves time","A specific client contractually requires a different cloud vendor (AWS-only shop, etc.)","One consistent stack across client projects speeds up delivery and makes handoff docs reusable, at the cost of being locked into Supabase's specific tooling choices per project","supabase|agency|repeatable|multi-client",2026-07-03
BE040,Node.js,Next.js API Routes,"Greenfield SaaS defaulting choice when no strong constraint points elsewhere — the pragmatic starting point for most new full-stack web products in 2026","Any of the avoid_when conditions on rows BE001/BE002/BE009 apply — reassess against those first","This is the skill's default recommendation absent other signals (see Stack Selection Logic in SKILL.md): Next.js + Supabase covers the majority of MVP/SaaS/agency-site cases with the least new infrastructure to learn","nextjs|default|greenfield|saas",2026-07-03
